isbn13,title,authors,publication_date
9780141312620,The Changeling Sea,Patricia A. McKillip,4/14/2003
9780595321803,The Changeling,Zilpha Keatley Snyder,6/8/2004
9781590301944,The Changeling,Kate Horsley,4/12/2005
9780449146972,The Changeling (Daughters of England  #15),Philippa Carr,8/28/1990
9780061159176,The Known World,Edward P. Jones,8/29/2006
9780060762735,The Known World,Edward P. Jones/Kevin R. Free,6/15/2004
9780060749910,The Known World,Edward P. Jones,6/15/2004
9780273704744,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,5/15/2006
9781932386103,Artesia: Adventures in the Known World,Mark Smylie,12/14/2005
9780374517199,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,6/1/1982
9780374280390,Uncommon Carriers,John McPhee,5/16/2006
9780374519742,Heirs of General Practice,John McPhee,4/1/1986
9780374522599,The Control of Nature,John McPhee,9/1/1990
9780374518738,Annals of the Former World,John McPhee,1/6/1999
9780374522872,Coming Into the Country,John McPhee,4/1/1991
9780374519322,La Place de la Concorde Suisse,John McPhee,4/1/1994
9780374516000,Giving Good Weight,John McPhee,4/1/1994
9780374520656,Rising from the Plains,John McPhee,11/1/1987
9780822205104,The Heidi Chronicles,Wendy Wasserstein,3/1/2002
9780679734994,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,7/2/1991
9781596670235,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3/29/2006
9781581807745,Simply Beautiful Beaded Jewelry,Heidi Boyd,3/14/2006
9780800793616,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,9/1/2003
9780871202864,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,1/28/1997
9780753454947,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,11/15/2002
9780871209993,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,11/15/2004
9781852402877,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4/28/2003
9780761129585,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,10/16/2003
9780972016414,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,5/10/2004
9781581805635,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,8/19/2004
9780441294671,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,6/15/1987
9780441102679,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,7/1/1987
9780441172696,Dune Messiah (Dune Chronicles #2),Frank Herbert,7/15/1987
9780765306470,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,7/1/2004
9780399128981,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,4/16/1984
9780765353702,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,8/29/2006
9780441328000,Heretics of Dune (Dune Chronicles #5),Frank Herbert,8/15/1987
9780618212903,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,6/12/2002
9780345410054,The Power of One (The Power of One  #1),Bryce Courtenay,9/29/1996
9780385732543,The Power of One (The Power of One  #1),Bryce Courtenay,9/13/2005
9780785260059,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,11/1/2004
9780471780939,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,5/19/2006
9780325001531,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,2/7/2000
9780060762872,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,5/3/2005
9780470045299,eBay for Dummies,Marsha Collier,10/30/2006
9780072262780,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,1/24/2006
9780764569241,Starting an eBay Business for Dummies,Marsha Collier,9/17/2004
9780471933823,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,6/6/2006
9780764559914,ebay Timesaving Techniques for Dummies,Marsha Collier,5/31/2004
9780764584381,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,4/25/2005
9780596523695,Ruby Cookbook,Lucas Carlson/Leonard Richardson,7/29/2006
9780806523491,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,5/3/2005
9780806525365,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,5/3/2005
9780596527310,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,1/1/2007
9780143035008,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,5/31/2004
9780451528612,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,11/5/2002
9780140449174,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,1/30/2003
9780822001836,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,11/26/1965
9781593080273,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,7/1/2003
9780486437965,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,11/23/2004
9781593081775,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,8/26/2004
9780778322276,Dinner with Anna Karenina,Gloria Goldreich,1/28/2006
9780521313254,Tolstoy: Anna Karenina,Anthony Thorlby,11/26/1987
9780140183955,Untouchable,Mulk Raj Anand/E.M. Forster,7/3/1990
9780679767473,The Untouchable,John Banville,6/30/1998
9781568491981,The Untouchables,Eliot Ness/Oscar Fraley,2/1/1996
9780743270793,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,9/27/2005
9780932863058,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,1/28/1995
9780742508804,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,12/20/2000
9780205358625,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,9/22/2003
9781557344038,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,9/28/1991
9780380720446,Wrinkles in Time,George Smoot/Keay Davidson,10/1/1994
9780821925324,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,5/1/2002
9780439271691,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,1/1/2002
9780606105262,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,6/1/1984
9780751506433,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,6/1/1994
9780060786717,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,1/3/2006
9780743499347,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,11/1/2005
9780765313409,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3/7/2006
9781400032495,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,8/10/2004
9781400032488,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,3/8/2005
9781400032464,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,8/10/2004
9780679732525,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,10/3/1990
9780312424442,I am Charlotte Simmons,Tom Wolfe,8/30/2005
9780806930770,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,10/1/2001
9780140366600,The Puffin Book of Nonsense Verse,Quentin Blake,10/3/1996
9780811201124,Henry Miller on Writing,Henry Miller/Thomas H. Moore,2/1/1964
9780802130167,Quiet Days in Clichy,Henry Miller,1/13/1994
9780802131782,Tropic of Cancer,Henry Miller/Jiří Níl,1/6/1994
9780802151827,Tropic of Capricorn,Henry Miller,1/13/1994
9780802151780,Nexus (The Rosy Crucifixion  #3),Henry Miller,1/13/1994
9780802151803,Sexus (The Rosy Crucifixion  #1),Henry Miller,1/12/1994
9780811201063,The Air-Conditioned Nightmare,Henry Miller,1/17/1970
9780141439631,The Portrait of a Lady,Henry James/Patricia Crick,9/30/2003
9781593080969,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,1/16/2004
9781571290533,Writing,Marguerite Duras,5/6/1999
9781565842212,The War,Marguerite Duras/Barbara Bray,8/1/1994
9780394743042,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3/12/1986
9781851681822,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,7/1/1999
9781566562492,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4/1/1998
9780140195538,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,1/1/1998
9780394431246,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,2/21/1995
9780806501901,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3/3/2003
9780679439202,Sand and Foam,Kahlil Gibran/جبران خليل جبران,6/14/2011
9780753453803,Treasure Island,Robert Louis Stevenson,9/15/2001
9781402714573,Treasure Island,Robert Louis Stevenson/Scott McKowen,10/1/2004
9781416500292,Treasure Island,Robert Louis Stevenson,6/1/2005
9780689854682,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,7/1/2003
9780517221143,Treasure Island,Robert Louis Stevenson/Milo Winter,9/3/2002
9781577658054,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,1/31/2006
9780933121188,100 Years of Lynchings,Ralph Ginzburg,11/22/1996
9780785950103,Cien años de soledad,Gabriel García Márquez,1/1/1990
9780394800844,On Beyond Zebra!,Dr. Seuss,9/12/1955
9780821778258,The Wedding Clause,Debbie Raleigh,6/7/2005
9780060733032,The Zebra Wall,Kevin Henkes,2/15/2005
9788432216060,El perfume: Historia de un asesino,Patrick Süskind,6/1/2002
9780345413994,The Door Into Summer,Robert A. Heinlein,6/17/1997
9780441788385,Stranger in a Strange Land,Robert A. Heinlein,10/1/1991
9780441748600,To Sail Beyond the Sunset,Robert A. Heinlein,6/1/1988
9780345316509,Job: A Comedy of Justice,Robert A. Heinlein,10/12/1985
9780765314932,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,8/8/2006
9780671742515,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,2/15/1991
9780345455291,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,4/26/2005
9780345476517,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,12/27/2005
9780345368430,Douglas Adams's Starship Titanic,Terry Jones,10/27/1998
9781417622856,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,7/1/2003
9780573650963,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,1/12/2011
9780691122946,On Bullshit,Harry G. Frankfurt,1/30/2005
9780393329407,Another Bullshit Night in Suck City,Nick Flynn,9/12/2005
9780671867423,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,6/12/1993
9780395883976,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,2/2/1998
9780684848150,Underworld,Don DeLillo,7/9/1998
9780140156041,Libra,Don DeLillo,5/1/1991
9780140119480,Americana,Don DeLillo,7/6/1989
9780679722946,Running Dog,Don DeLillo,7/17/1989
9780743244251,Cosmopolis,Don DeLillo,4/6/2004
9780140179170,Great Jones Street,Don DeLillo,1/1/1994
9780679722953,The Names,Don DeLillo,7/17/1989
9781594201202,Against the Day,Thomas Pynchon,11/21/2006
9780060930219,V.,Thomas Pynchon,7/5/2005
9780060931674,The Crying of Lot 49,Thomas Pynchon,4/1/1999
9780140283389,Gravity's Rainbow,Thomas Pynchon,1/1/2000
9780312423209,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,1/3/2004
9780141180632,Vineland,Thomas Pynchon,9/1/1997
9780143039945,Gravity's Rainbow,Thomas Pynchon,10/31/2006
9780316724432,Slow Learner: Early Stories,Thomas Pynchon,4/30/1985
9780140189308,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,8/29/1996
9781400043149,The Year of Magical Thinking,Joan Didion,10/4/2005
9780374522216,The White Album,Joan Didion,10/1/1990
9780679754862,A Book of Common Prayer,Joan Didion,4/11/1995
9780679752868,Where I Was From,Joan Didion,9/14/2004
9780374521721,Slouching Towards Bethlehem,Joan Didion,10/1/1990
9780679754855,Democracy,Joan Didion,4/25/1995
9780307264879,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,10/17/2006
9780374529949,Play It As It Lays,Joan Didion/David Thomson,11/15/2005
9780143039839,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3/28/2006
9780140097313,City of Glass (The New York Trilogy  #1),Paul Auster,4/7/1987
9780140097351,Ghosts (The New York Trilogy  #2),Paul Auster,7/7/1987
9780940650763,The Locked Room (The New York Trilogy  #3),Paul Auster,11/1/1986
9780963188922,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,1/1/1995
9780312426231,The Brooklyn Follies,Paul Auster,10/17/2006
9780140115857,Moon Palace,Paul Auster,4/1/1990
9780140154078,The Music of Chance,Paul Auster,12/1/1991
9780805081459,Travels in the Scriptorium,Paul Auster,1/23/2007
9780140178135,Leviathan,Paul Auster,9/1/1993
9780811214988,The Red Notebook: True Stories,Paul Auster,6/17/2002
9782742741465,Timbuktu / Leviathan / Moon Palace,Paul Auster,11/7/2002
9780143036555,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,12/27/2005
9780446579780,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,2/1/2006
9780521386739,Collapse of Complex Societies,Joseph A. Tainter,3/29/1990
9780743203043,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,8/7/2001
9780345438713,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,1/29/2002
9780393318289,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,9/17/1998
9781599869940,My Inventions,Nikola Tesla,5/17/2006
9780806519609,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,2/1/2001
9780822549208,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,10/1/1994
9780932813862,Tesla Papers,Nikola Tesla/David Hatcher Childress,12/1/2000
9780373792689,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,6/27/2006
9780974514055,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,10/11/2004
9780764585975,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,6/13/2000
9780307281708,Lord of the Flies,William Golding,10/11/2005
9780812969702,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,9/12/2006
9780060255084,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,1/1/1989
9780330485388,The Lovely Bones,Alice Sebold,6/1/2003
9781594130236,The Lovely Bones,Alice Sebold,4/1/2004
9780345360359,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,5/13/1990
785342303476,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,2/17/2005
9780321430847,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,8/1/2006
9783822840856,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,5/15/2005
9780743264464,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,6/13/2006
9780743236010,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,7/2/2004
9780553572490,Vice (V  #8),Jane Feather,5/2/1996
9780060589462,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,4/25/2006
9780802789471,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4/1/2005
9780688060695,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,11/19/1990
9781859605158,Motorcycle Basics Techbook,John Harold Haynes,7/5/2002
9781592530878,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,9/1/2004
9780451528803,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4/1/2003
9780192833983,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,6/25/1998
9780486451381,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,9/8/2006
9780452011878,Atlas Shrugged,Ayn Rand/Leonard Peikoff,8/1/1999
9780451163080,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,12/1/1963
9780452286757,The Fountainhead,Ayn Rand,4/26/2005
9780451163936,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,11/1/1964
9780452281257,Anthem,Ayn Rand,12/1/1999
9780451187840,We the Living,Ayn Rand/Leonard Peikoff,1/1/1996
9780451147950,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,7/15/1986
9780452274044,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,2/1/1997
9780471791430,Sailing for Dummies,J.J. Isler/Peter Isler,6/1/2006
9780553803815,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,7/25/2006
9780375755194,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,9/17/2002
9781592283194,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,4/1/2004
9780975599518,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,1/1/2004
9780374502003,The Natural,Bernard Malamud/Kevin Baker,7/7/2003
9780307263940,Digging to America,Anne Tyler,5/2/2006
9780312405540,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,1/21/2004
9780195170139,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,10/7/2004
9781400079490,The Plot Against America,Philip Roth,9/27/2005
9780688171629,Naked Pictures of Famous People,Jon   Stewart,9/22/1999
9780060932688,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,5/13/2008
9781400034956,Crónica de una muerte anunciada,Gabriel García Márquez,10/14/2003
9780307350428,Cien años de soledad,Gabriel García Márquez,2/7/2006
9780307350442,Del amor y otros demonios,Gabriel García Márquez,2/7/2006
9781400034543,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,10/12/2004
9781400095803,Memoria de mis putas tristes,Gabriel García Márquez,10/19/2004
9780375708114,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,9/2/2004
9780861714926,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,5/15/2005
9781843535843,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,4/1/2006
9781740594776,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,9/1/2004
9788408064763,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,5/1/2006
9781740592055,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,9/1/2001
9780618710539,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,4/4/2006
9780060512804,Cryptonomicon,Neal Stephenson,11/1/2002
9782228894166,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,3/31/2001
9780060733353,The Confusion (The Baroque Cycle  #2),Neal Stephenson,6/14/2005
9780060593087,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,9/21/2004
9780553383447,The Cobweb,Neal Stephenson/J. Frederick George,5/31/2005
9780380816033,The Big U,Neal Stephenson,2/6/2001
9780553380965,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,5/2/2000
9780553383430,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,5/31/2005
9780060833183,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,3/28/2006
9780553380958,Snow Crash,Neal Stephenson/Guy Abadia,8/2/2000
9781880685358,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,6/1/2005
9781880685334,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,12/1/2004
9780465067107,The Design of Everyday Things,Donald A. Norman,9/19/2002
9780465051366,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,5/11/2005
9780465067091,The Psychology of Everyday Things,Donald A. Norman,6/13/1988
9780898709193,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4/30/2006
9780060887964,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,5/2/2006
9780061122415,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,5/1/1993
9781421504605,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,9/19/2006
9781591169253,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,9/13/2005
9781421504599,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,7/18/2006
9781591169208,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,5/3/2005
9781591169291,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,11/8/2005
9780060192501,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,11/1/1998
9781591169239,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,7/5/2005
9780812974614,Pompeii,Robert   Harris,11/8/2005
9781587157394,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,12/3/2002
9780142000670,Of Mice and Men,John Steinbeck,1/8/2002
9780060554736,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,9/6/2005
9780142401200,The Westing Game,Ellen Raskin,4/12/2004
9780808553038,The Egypt Game,Zilpha Keatley Snyder,7/7/2009
9781400096893,Memoirs of a Geisha,Arthur Golden,11/22/2005
9780739326220,Memoirs of a Geisha,Arthur Golden,11/15/2005
9780099498186,Memoirs of a Geisha,Arthur Golden,12/1/2005
9781557046833,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,10/20/2005
9780099771517,Memoirs of a Geisha,Arthur Golden,6/4/1998
9780743430593,Geisha of Gion,Mineko Iwasaki/Rande Brown,5/6/2003
9781932664393,Love As A Foreign Language #5,J. Torres/Eric  Kim,2/1/2006
9780521750844,Jungle Love,Margaret Johnson/Philip Prowse,8/1/2002
9780802415318,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,1/1/2005
9781416524793,Angels & Demons (Robert Langdon  #1),Dan Brown,4/1/2006
9788495618771,Ángeles y demonios (Robert Langdon  #1),Dan Brown,12/1/2005
9780972859899,Angeles & Demonios,Dan Brown/Raúl Amundaray,12/1/2005
9780307277671,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3/28/2006
