PatronID,ISBN,LibraryID,DatePlaced
584,9780515142396,3,2019-01-11 22:12:25
531,9780743285025,2,2020-09-14 17:58:35
644,9780553285550,2,2004-01-24 23:02:00
639,9780786941643,3,1997-02-23 01:21:01
42,9780812211122,4,1993-03-10 10:43:06
99,9780684839370,2,2011-04-17 03:46:42
388,9780393927542,3,2018-09-25 01:53:37
930,9780684844640,2,2011-07-21 00:40:56
149,9780226307831,5,1998-11-20 00:39:33
767,9781400083114,4,1996-10-29 21:03:31
794,9780060609177,5,2019-09-11 14:17:24
493,9780553107753,5,2015-10-13 17:22:20
706,9780802133311,1,1992-04-18 21:09:36
618,9781591164418,3,2015-04-27 08:12:56
901,9781400043668,2,2013-01-17 13:40:56
195,9780805080759,4,1999-04-05 21:31:48
20,9780375759864,4,1998-03-12 23:17:44
837,9780571202805,3,1982-10-12 07:06:29
859,9780679740582,1,2008-11-16 04:22:35
202,9781931082204,5,1985-02-13 22:15:52
149,9780380732548,3,1986-11-09 08:56:23
712,9780156030410,2,1989-10-31 18:12:07
631,9780500282755,1,1981-09-07 19:56:43
574,9781593081386,1,2000-12-30 08:58:11
240,9780345289674,3,2011-03-27 23:00:19
430,9780130669971,5,2005-11-08 10:10:17
123,9780521316927,1,1992-10-14 15:41:16
187,9780440418412,3,1990-01-10 12:55:51
351,9780739308707,4,1985-01-29 10:03:27
534,9780451163080,4,2015-06-25 22:42:56
77,9780805390476,3,2003-06-07 23:13:04
895,9781582406190,1,2001-04-28 17:22:10
822,9780802713520,2,1997-12-07 03:42:14
222,9780451217400,5,2001-10-01 00:26:56
864,9780142004203,3,1985-08-17 16:48:05
4,9780471292517,3,2017-01-09 12:57:11
15,9780486285610,4,1980-01-12 11:24:24
630,9780316911481,4,1982-12-30 23:42:25
373,9780939666508,3,1990-12-19 08:00:28
858,9781594160004,5,1981-09-20 12:18:56
943,9780684839745,1,2010-12-25 00:22:34
919,9780974412184,1,1992-01-05 07:19:55
134,9781573225205,4,2014-01-12 01:44:54
233,9780698119604,1,1999-11-26 18:25:18
738,9780671553043,1,2000-04-21 18:04:13
379,9780060086244,3,1986-08-23 08:03:26
823,9781880685334,2,1981-07-31 03:30:28
369,9780060928773,3,1993-08-17 20:02:49
58,9780198601739,5,1989-11-16 16:44:55
182,9781423323389,5,1998-04-20 06:27:13
480,9780099448921,5,2009-10-29 07:30:27
127,9781593076122,4,1990-05-11 20:11:39
356,9781841493152,2,2005-01-02 02:09:01
129,9780060872793,5,1982-12-16 10:54:48
170,9780596527310,5,1981-08-16 00:18:31
370,9780399532719,4,2012-05-19 20:47:23
316,9780393061314,3,1988-04-27 13:38:32
219,9781400002214,2,1988-06-29 10:45:13
170,9780679745396,4,2000-11-26 21:48:35
611,9780393316049,1,2003-10-16 16:45:18
460,9780141805641,2,2007-02-12 16:22:22
774,9780811215923,2,1981-03-22 07:14:00
427,9780060011574,5,1981-12-11 01:11:49
199,9780156003650,2,2007-12-29 10:47:52
80,9780007120680,2,1997-10-23 23:59:40
75,9780691019581,5,2002-05-29 15:30:53
209,9780375727405,5,1983-12-29 12:50:15
104,9780786702275,5,1982-10-21 13:59:16
660,9780415266710,5,2002-03-26 01:34:57
181,9780373115990,2,1994-11-28 09:57:32
905,9780552150262,5,1990-07-28 09:14:26
442,9780743260220,3,1993-08-10 18:47:54
795,9781593077112,1,2012-05-19 08:36:23
525,9780380972333,1,2014-09-30 17:19:06
107,9784088736211,4,1988-03-04 09:37:58
922,9781841157481,2,1991-06-29 12:03:27
76,9780312867577,3,1984-12-15 04:51:42
915,9780394757643,5,1990-10-29 00:01:38
192,9781567921571,5,2002-10-21 18:57:31
507,9788426131928,4,2006-06-07 22:14:49
39,9780141013954,2,1988-12-08 07:49:09
176,9780345455291,1,2017-04-06 08:59:26
952,9780517122334,1,2005-06-12 04:21:45
970,9781845400651,4,2001-10-03 10:51:10
859,9780674802803,2,1997-05-21 01:31:24
418,9780140503449,2,1996-01-20 05:26:03
156,9781557131775,4,1998-07-26 12:16:07
48,9780938497196,4,1989-09-05 00:03:08
451,9780099468387,3,2003-11-24 06:25:25
572,9780812972016,4,1987-02-19 19:16:35
660,9780739303405,1,2007-05-05 00:33:39
546,9781402726620,5,2007-03-29 06:19:12
326,9780373028603,3,1987-10-23 07:40:23
660,9780803266551,5,1989-03-15 16:50:26
373,9780812555103,3,1985-06-20 22:42:13
739,9781579547691,5,2016-01-06 18:30:11
107,9780521532501,2,1986-11-10 02:09:02
469,9782253144908,3,2008-12-28 09:15:43
35,9780886778040,1,1981-08-21 06:37:37
814,9781841957180,5,2014-11-30 07:27:17
998,9780786940752,3,2019-10-04 01:26:42
488,9780394703374,4,2018-01-01 22:55:33
823,9780345470577,1,2009-12-02 14:19:33
695,9781556434952,3,1980-12-21 03:27:42
888,9783491757103,3,1989-08-25 08:34:37
691,9780786902064,4,1991-12-16 14:25:23
723,9780156932509,5,1996-01-09 17:15:47
510,9781560978008,3,1987-04-07 05:31:53
473,9780340820469,5,2002-08-14 22:50:20
530,9780060759254,4,1997-06-11 13:33:27
155,9780451218377,2,2008-08-12 20:59:28
339,9780156212502,3,2020-01-24 23:27:15
496,9780765308375,5,2003-02-21 09:59:40
198,9780141009827,2,2017-05-11 04:37:08
7,9780689870408,4,2016-01-12 17:32:11
927,9780330481915,2,1993-02-24 20:30:39
672,9781416531043,2,1986-06-13 00:25:07
626,9781403967923,2,1983-01-19 14:44:49
246,9780843951776,1,1984-01-18 10:09:30
731,9780374516901,5,1985-10-19 22:25:19
820,9781581821291,3,1981-08-05 02:17:56
472,9780425084786,1,1999-09-21 15:20:58
660,9780345384225,2,1982-05-14 19:47:43
62,9780785116776,2,2014-10-09 14:43:48
106,9780425210277,2,2002-08-04 23:14:21
805,9781400096466,3,1984-08-16 13:28:54
87,9780802137784,1,2002-01-09 00:37:22
911,9780486270616,3,1980-04-08 05:13:22
914,9780486449821,2,2004-07-17 12:32:04
157,9781573442213,2,1998-04-18 17:04:27
830,9780395416853,2,1991-09-16 23:26:47
681,9780345476326,3,2007-07-03 13:16:13
473,9780575601970,4,1998-04-14 21:04:46
813,9780060856267,5,1995-10-05 13:16:38
78,9781402516276,3,1986-06-24 23:28:47
70,9780679725220,4,2006-12-04 08:05:51
270,9780064402453,4,2020-01-16 14:50:38
341,9781594130236,2,2008-05-16 16:58:41
537,9780064300896,5,2020-06-26 03:00:47
495,9780385333764,5,1999-02-20 05:09:23
64,9780064407144,3,1985-07-20 07:16:45
757,9780689837142,3,1980-09-29 09:05:02
955,9780563525691,4,1998-08-16 02:12:32
694,9780691014524,2,2008-01-26 19:21:14
125,9780374530310,4,2002-03-17 06:53:55
546,9780192839992,2,2003-12-24 02:54:34
540,9780786914296,4,1985-04-10 14:07:35
134,9781421506135,4,2006-08-20 01:15:11
54,9780517550366,1,2016-11-18 13:34:35
799,9780812034073,1,1999-04-28 15:22:37
950,9780140275650,3,1982-01-06 11:13:02
9,9780312420925,3,1984-02-21 12:59:28
161,9780792273639,1,2016-11-21 19:01:42
99,9780812974614,5,2007-06-05 09:52:37
885,9783518014349,3,2016-07-29 20:50:52
41,9780679726487,4,2004-02-20 15:01:21
932,9780743456869,5,1986-07-18 09:39:57
904,9780553564945,4,2001-01-06 09:12:42
411,9780679753766,2,2016-08-30 18:54:01
769,9781596670235,3,2006-08-20 17:28:44
230,9781590526866,4,2002-03-08 10:30:35
644,9780525461319,1,2020-07-24 22:14:52
305,9780689807015,2,2013-08-09 08:38:44
171,9780747544210,5,2017-01-28 08:32:35
889,9789500426541,1,1999-12-20 17:26:31
246,9781421504605,1,2001-02-02 23:30:05
872,9780849945113,5,2020-06-25 23:50:38
356,9780192802774,3,2012-11-05 17:00:47
473,9780805078428,3,2018-03-18 00:40:16
654,9780877880202,5,2020-06-30 00:39:36
759,9780441014651,3,1981-05-08 18:20:16
737,9780878056262,3,2011-06-29 07:21:06
820,9780613013376,1,1998-08-24 07:10:46
724,9781400096084,2,2018-06-07 04:48:40
808,9781582971032,5,1990-01-26 15:09:22
121,9780395957998,5,2017-05-16 17:48:36
621,9780394479873,1,1988-03-10 09:33:19
685,9780440322276,1,2020-04-15 08:43:07
231,9780060510855,4,2017-02-23 09:07:39
547,9780879972165,4,2012-12-08 18:54:35
57,9780192835857,4,1997-10-06 11:01:27
273,9781841591063,3,1980-05-19 16:17:50
793,9780679725404,3,1992-08-19 10:39:46
324,9780156932509,3,1992-01-08 00:30:59
628,9781904920359,3,2016-08-18 23:22:05
505,9780375755200,1,1982-11-06 17:40:36
319,9780735200302,4,2004-10-31 02:23:38
144,9780486445632,4,1982-11-02 00:35:41
218,9780553575101,2,2010-02-28 13:07:41
855,9780415907446,4,1988-12-27 11:39:21
409,9780743276870,4,2007-01-17 01:07:03
112,9780786817788,2,1985-08-21 05:01:50
226,9780810970526,4,2006-09-16 00:07:10
332,9780345362537,5,1998-04-20 11:44:27
588,9780770422479,1,2012-11-23 16:55:39
329,9780590440615,2,2018-03-11 02:45:47
627,9780152054519,5,1982-05-16 22:40:49
158,9781580420815,2,2001-11-12 09:34:20
97,9780552771337,4,1999-10-27 18:26:36
829,9780394571072,4,1997-11-13 00:51:00
979,9782253142447,2,2017-02-26 19:53:12
985,9780440428657,2,1987-08-14 14:51:13
780,9780674891999,1,1995-03-08 11:41:57
760,9781421507217,2,2000-07-29 12:28:51
438,9780750000338,3,1992-01-29 07:19:24
436,9780385493628,3,2010-02-18 11:36:00
612,9781903252048,3,1997-09-20 19:19:41
397,9780385605144,3,2009-12-05 16:59:01
991,9780425214923,3,2001-03-16 23:59:36
667,9780805063899,2,1994-12-27 00:43:35
526,9780970998712,5,1988-01-21 02:56:34
226,9780679734482,5,1980-01-02 14:22:14
132,9780199205646,1,1995-12-23 02:47:55
24,9780805069075,3,1986-04-12 21:59:16
107,9780446679091,3,2006-04-04 09:52:20
244,9780684838380,5,2000-12-06 12:42:20
564,9780684854731,5,1991-02-05 06:25:10
343,9780851742717,3,1986-07-23 03:44:35
362,9780140441055,5,1987-12-13 06:20:06
562,9780143104889,4,1985-04-22 19:52:44
262,9780321432872,2,1991-02-03 20:35:40
622,9780451528612,1,1996-07-29 15:03:52
86,9780964366565,2,1988-02-11 02:19:20
79,9781582406190,5,2008-08-31 12:01:48
672,9780802139702,3,1981-08-27 18:50:15
532,9780062516374,3,2011-03-10 07:33:36
62,9780446912068,1,2006-12-31 11:35:32
178,9780140272925,4,2006-08-23 14:13:04
427,9781585678839,1,1986-11-23 01:40:29
915,9780689823824,2,1980-11-21 02:58:47
551,9782253033134,5,1997-12-12 04:30:51
115,9780385339094,3,2008-07-04 13:00:42
165,9781879794061,5,1984-05-10 23:08:31
102,9780761417125,2,1996-04-23 14:24:10
396,9780375423000,5,2004-03-08 03:13:16
205,9780802134103,5,1997-02-18 03:59:45
523,9780802829665,4,2002-01-24 15:39:45
891,9780765312938,5,2003-08-13 08:56:10
63,9780345450692,4,1987-02-21 06:04:52
753,9780517092941,3,2014-12-13 10:36:36
4,9780061121203,5,2003-07-06 18:43:43
39,9780517588376,5,2016-01-20 11:44:30
561,9789626343586,1,1981-03-23 14:52:32
624,9780671605650,4,1988-07-02 13:15:50
825,9780886773786,1,2005-03-26 18:37:52
593,9780765348449,4,1985-06-05 22:26:19
933,9780743457910,1,2011-06-30 15:13:24
503,9780312983307,1,1987-03-03 05:19:43
729,9781403904560,5,2013-03-04 09:12:09
541,9780192831873,2,2011-12-25 18:01:54
705,9780446354738,4,1991-01-11 13:12:06
827,9780060507404,3,2009-12-27 22:56:53
861,9783423118224,3,2016-04-15 13:21:16
728,9780739844328,3,2002-01-16 05:14:57
765,9780767921695,1,2009-01-28 22:23:58
192,9781841811109,2,1988-09-27 21:08:02
771,9780441011247,4,2008-05-13 08:28:12
738,9781590171035,5,1999-11-23 12:47:28
597,9780679743347,3,2015-05-26 01:10:04
724,9780440234746,2,2001-08-04 02:51:49
278,9780521010504,1,2010-09-04 05:03:39
484,9780821775509,2,2009-04-02 15:23:04
43,9781593082062,1,2000-04-16 18:26:25
257,9781569715147,4,2001-07-20 14:41:29
114,9780140447941,1,1985-10-14 23:59:46
368,9780142401989,1,2009-05-18 16:25:26
706,9780345329455,3,1990-08-12 01:34:43
145,9780440416883,2,2008-07-11 09:32:20
362,9780471430452,5,2011-10-31 14:33:16
531,9780141439495,5,1997-09-09 22:25:25
920,9781898253341,5,2009-09-27 13:25:22
937,9780749933630,5,1997-08-13 03:59:27
454,9780060760823,2,2011-06-01 13:56:22
701,9780312937690,1,1982-07-28 12:47:25
323,9780886774677,2,1986-11-17 21:53:57
752,9780821778258,4,1988-12-23 19:41:16
305,9780143035985,3,1992-08-14 18:01:53
479,9780385493628,4,1983-09-02 20:30:29
524,9780330412445,3,2017-03-17 18:30:34
996,9780804833370,2,1991-01-13 03:45:01
636,9781596670235,5,2019-07-04 16:31:48
264,9780318634876,1,2006-12-09 08:53:48
313,9780445405561,3,1988-12-12 23:29:41
570,9780689823824,4,1985-01-20 05:13:31
220,9780843944822,5,2000-07-08 02:20:30
185,9780140144185,3,1997-05-06 21:26:27
572,9780373632442,4,2005-08-07 18:25:41
106,9781401203573,1,2010-02-01 11:32:57
741,9780285647879,3,1981-04-24 16:57:49
559,9781563896279,5,1985-12-20 10:25:40
578,9780761417095,1,1981-04-25 01:13:24
139,9780520242456,4,2010-05-18 19:09:18
97,9780198601739,2,1986-08-05 15:30:42
104,9780312425869,4,2009-04-06 16:21:13
501,9780785113881,3,2003-08-15 20:29:20
584,9780812532616,2,1983-11-08 12:06:14
826,9780671605650,5,2000-01-24 07:49:03
602,9780805078916,5,1995-11-11 05:15:29
958,9780743484183,2,2005-04-13 03:33:29
966,9780060958336,3,2005-05-28 07:56:11
505,9780764585975,2,2018-05-24 18:18:39
597,9780689849121,4,1980-09-29 07:47:05
65,9780142002834,3,1986-01-14 12:07:56
634,9780786851492,1,1981-05-09 17:08:56
37,9780439266017,4,2018-06-19 13:17:51
266,9780345305183,1,2005-01-21 09:05:04
219,9780810119116,5,1986-05-29 06:16:24
819,9781400033836,1,2011-05-16 05:44:31
316,9780801868221,1,2008-09-04 15:54:11
456,9789998691568,5,2004-07-09 07:50:31
494,9780375701153,3,1994-12-09 15:22:04
122,9780714530031,4,1991-11-10 04:52:44
391,9781400307845,2,2009-11-30 02:24:01
691,9780426203674,1,1999-05-28 07:31:28
959,9780434010530,4,1987-05-30 01:41:56
551,9781591164418,4,2012-01-05 21:34:26
457,9781593358723,2,2018-06-14 20:31:13
237,9780441581054,4,2019-03-07 08:43:49
62,9781851682348,3,2005-07-13 23:37:02
300,9781421509228,1,2020-05-12 22:15:51
288,9781400075126,1,2002-09-19 13:22:18
745,9780140298543,4,1983-07-02 02:53:01
294,9780756611774,5,2004-01-01 11:03:58
891,9781933372204,3,1983-12-07 21:58:34
385,9781593077112,4,1992-04-12 05:24:49
670,9780060572341,1,1991-03-26 15:16:00
418,9780345413994,2,2017-03-26 15:54:21
810,9780099478393,5,2017-09-05 18:30:55
59,9781565846715,3,2010-04-07 12:26:22
940,9780385487184,4,1981-02-03 00:00:43
502,9780688143923,3,2012-08-25 11:23:37
988,9781593072025,3,1984-12-06 22:16:23
619,9780596527310,1,2014-12-04 20:00:29
847,9780563496267,4,1987-11-25 02:36:33
253,9780785114932,3,2002-03-21 17:43:34
935,9780375704055,5,1986-11-09 02:56:25
170,9780394735306,5,1993-04-04 17:17:42
557,9780679783398,4,1992-06-12 12:56:27
68,9780767921695,2,1991-02-03 13:21:10
271,9780394571072,4,1988-03-26 11:44:43
834,9780345446664,4,1993-06-04 00:43:35
170,9780684826806,2,1989-08-05 14:03:38
950,9782266104463,2,2019-03-26 04:33:13
100,9781580175203,5,2006-11-17 04:18:49
293,9781401301361,1,2011-06-28 21:07:18
905,9780679410508,2,2007-06-13 06:01:46
343,9780375400704,2,2019-01-07 16:39:59
113,9780064434980,1,1994-06-02 03:18:51
74,9781844080380,4,2004-07-13 14:46:13
666,9780140085303,2,2002-02-07 05:30:04
387,9781568950747,3,1994-03-21 01:33:28
978,9789681317089,1,1999-12-19 20:40:09
998,9780451205148,4,2014-05-05 01:35:06
926,9780132197380,5,1982-03-16 12:35:49
587,9780060005696,1,2017-11-25 17:59:39
917,9781932394610,3,1984-09-15 15:23:12
613,9780472766000,5,2008-05-27 06:35:18
161,9780446616423,3,2011-10-25 01:54:48
402,9780060855901,2,2005-09-28 01:59:20
359,9780743219617,1,2004-08-12 10:28:29
313,9780684841212,5,1980-12-02 04:09:36
709,9781585004843,2,2013-08-14 05:44:07
25,9780142003268,2,1991-12-24 23:00:58
628,9788475173467,2,1991-11-20 04:45:24
953,9780345453747,1,2001-03-12 03:06:58
430,9788498000832,2,2009-11-06 20:02:21
577,9780810117495,2,1981-01-20 16:34:47
566,9780393061239,1,1982-04-20 18:34:13
828,9780439375900,3,1986-08-29 09:13:31
302,9780061137457,4,2016-10-29 10:58:57
190,9780689840333,5,2001-11-20 06:44:37
597,9780312324087,5,2000-10-05 05:56:12
600,9780750002448,4,1988-09-10 07:06:52
849,9780385339650,2,1997-09-20 03:06:32
942,9781582348254,1,1998-10-26 20:32:21
371,9780060847180,4,2003-10-13 17:11:31
641,9780060851897,4,2014-10-13 13:52:51
379,9780811201322,1,1998-05-17 12:55:56
293,9780345495839,3,2007-04-03 10:58:18
233,9780394708522,4,1991-05-20 15:44:22
670,9780743436502,5,1989-03-10 01:01:02
379,9781416524809,3,2011-01-02 01:24:48
125,9780805242096,1,2017-06-07 14:42:40
569,9781558492769,2,2000-08-16 00:17:12
322,9780393090024,1,2010-03-31 15:02:39
279,9780002310192,4,2008-09-09 20:29:44
497,9780886774011,4,1998-03-13 08:17:30
248,9780060598891,5,2008-11-20 16:49:54
723,9780765341297,4,2017-12-01 07:01:10
767,9780192893222,1,1990-03-19 23:19:23
636,9780143038108,3,1989-06-23 15:28:57
510,9780765347985,2,2013-04-13 04:04:31
765,9780743484879,4,2011-06-05 18:58:00
637,9780373771721,1,2006-07-29 03:54:03
779,9780449911945,1,2018-06-09 09:30:45
697,9780786851966,1,2009-08-20 16:34:40
98,9780872206038,1,2003-12-02 05:06:21
422,9781586634490,5,1996-11-15 13:58:36
624,9781401212636,3,2014-01-02 06:58:43
162,9781840221084,1,2014-12-20 14:06:04
848,9780812972078,1,1997-08-25 19:18:20
773,9781400030064,1,1986-05-29 12:58:52
496,9781572308688,1,1990-03-03 12:57:37
785,9780297843702,1,2004-11-28 12:25:18
641,9781844164035,4,2020-06-26 07:59:16
85,9780756615697,3,1995-08-22 12:39:52
666,9780679406839,5,1994-12-09 09:30:25
994,9780375708114,1,2014-04-30 12:51:49
766,9780099297703,3,2011-04-18 07:37:08
338,9780375752193,1,1982-03-13 13:30:29
40,9780553576016,2,2011-06-22 13:03:06
105,9780521667920,5,1983-07-09 21:25:19
60,9780141439907,2,1981-03-27 00:49:19
9,9780970016416,5,2010-01-07 21:55:27
712,9781400076956,1,1980-10-28 11:37:39
526,9780465039135,4,1982-05-10 05:29:29
848,9780060598846,1,2002-11-03 02:43:53
906,9780446611770,2,2017-04-12 16:23:38
975,9781421506296,4,2018-12-18 07:40:36
26,9780345442741,5,2003-02-15 21:22:43
44,9780060093563,2,1992-09-16 14:16:36
855,9781573223096,3,1996-11-21 15:16:46
698,9780689865398,4,1988-07-24 20:46:21
611,9780553587067,3,1995-09-09 09:06:23
506,9780425204030,4,2013-03-28 20:29:53
266,9780802133311,1,1981-07-04 15:23:09
380,9780747236047,1,1995-01-23 09:46:45
593,9781841591384,2,1995-09-24 14:07:23
119,9780064434973,4,1985-10-08 14:13:08
221,9780801883941,3,1985-02-23 02:10:00
994,9780312424916,1,2011-10-15 21:00:51
609,9780886775285,4,1996-06-04 03:48:13
317,9780786849710,5,2009-08-01 07:30:54
512,9780674018297,2,2018-10-24 16:31:41
384,9780679751236,4,1997-03-03 13:45:07
432,9780312423735,3,1997-02-19 05:01:53
78,9780517702222,4,2011-01-17 21:49:13
50,9781841591018,5,2002-06-26 13:40:10
413,9789722331685,4,1997-07-15 10:10:37
891,9780590988490,3,2012-10-14 12:04:59
843,9780374522216,5,1986-04-04 06:01:20
260,9780394705125,4,1993-11-15 09:57:25
299,9780679772644,3,2010-01-08 15:19:55
469,9780375724954,4,2018-05-30 19:38:11
750,9783426612781,3,2013-06-29 16:28:46
120,9780670400676,5,1982-10-12 15:04:02
679,9780515136944,1,2016-07-05 21:07:08
972,9780020442608,4,1991-02-06 03:57:02
311,9780425200452,2,2003-08-06 11:38:15
257,9780439791403,1,1997-04-27 05:10:56
520,9780898792089,2,2015-02-06 11:21:05
361,9780936184722,2,1980-12-17 09:22:29
961,9780671877781,5,2000-12-12 15:53:22
779,9780679779155,3,1988-08-18 01:13:09
35,9780743428958,5,1990-03-24 06:23:21
819,9780553562606,3,2008-10-24 15:44:01
771,9780380763399,2,2009-09-29 13:05:12
762,9780007175222,1,2015-02-09 21:39:29
556,9780786180301,1,1993-09-26 16:01:19
548,9780060799908,4,1987-12-13 02:40:49
161,9780060002060,4,1993-07-23 16:24:47
2,9780751506457,5,2017-05-13 09:27:40
474,9781854596017,4,1993-09-10 08:39:48
237,9780670800339,5,1989-04-30 23:52:57
2,9780767908184,4,1997-11-12 04:00:51
93,9780590488129,2,2019-11-25 21:39:36
118,9780743264730,4,1991-04-30 04:47:32
797,9781590172193,1,2011-07-07 23:38:58
812,9789500424134,5,1999-08-17 21:48:54
839,9781880216620,3,2017-01-21 08:31:08
135,9780792274575,4,2001-06-01 21:00:40
786,9781582970073,1,2005-01-14 18:18:59
395,9782264017697,5,1988-04-02 09:38:47
91,9780307265784,2,2000-09-22 13:51:59
120,9780892817580,5,1982-08-07 01:20:49
356,9780747571773,5,2009-08-09 06:45:20
383,9780262240512,1,1999-10-11 17:02:23
281,9780552998086,2,2015-08-20 12:01:03
232,9780375416200,3,1997-12-28 07:09:22
632,9780345470577,2,2005-02-23 02:47:30
940,9780345396532,5,2009-11-11 22:27:31
670,9780765306470,3,2012-10-21 15:32:06
449,9780060584085,5,1988-05-22 09:26:36
256,9780345446664,3,2015-03-17 00:54:06
258,9780060511104,1,2009-04-23 17:29:29
430,9780425194522,2,1994-02-09 18:34:07
184,9780805073874,2,2015-02-24 23:34:23
331,9780060507404,2,1995-12-12 23:22:25
18,9780812970401,4,2000-08-03 21:10:58
873,9780393926118,3,2013-11-02 13:39:46
258,9781400079377,3,1981-03-29 08:07:08
598,9781401211509,1,1999-02-09 16:02:47
470,9780099427865,1,2006-06-19 17:15:55
797,9788408045755,5,2018-08-16 12:30:21
179,9780142302279,3,1997-04-29 21:11:37
93,9783551552716,3,2006-11-15 23:45:52
853,9780486275505,4,2006-12-21 11:19:09
472,9780743264075,4,1998-05-09 22:36:51
439,9780553574227,2,2003-02-08 15:42:06
962,9780385602051,2,2012-09-20 19:30:33
567,9780715629949,4,2005-11-26 23:32:04
245,9780060541873,3,2013-05-30 07:44:15
373,9780679783480,2,2013-05-18 07:32:23
607,9780375704536,2,2004-08-28 16:51:21
227,9780875526027,1,1991-10-04 05:25:47
532,9789722331685,4,1980-01-24 02:44:06
866,9781840465761,5,2000-04-05 14:12:51
754,9780375704024,2,2016-02-19 08:24:04
609,9780060572150,3,2005-12-18 01:40:11
434,9783423129862,4,1983-12-30 07:56:40
395,9780020518600,1,2004-12-16 02:13:30
530,9780425204245,1,2014-12-06 08:31:43
148,9780486424736,4,2006-03-22 02:55:16
914,9780446674829,3,1980-06-21 21:42:47
602,9781581348095,1,1992-10-11 17:07:35
432,9780375416200,4,1983-09-18 07:56:03
260,9781592530878,3,2003-11-18 10:41:09
79,9780385495226,3,2002-04-07 20:58:41
528,9781932234220,4,1996-08-23 06:29:20
810,9781406955811,5,1992-06-21 02:45:48
581,9780393096330,4,2020-11-24 03:20:25
684,9780439554008,5,1994-09-17 10:05:51
627,9780452282315,3,1984-02-03 03:10:10
866,9780805210477,5,1999-08-09 21:55:44
429,9780307350367,5,2008-05-11 02:38:11
616,9780399153624,1,1981-06-02 20:31:32
488,9780425205518,3,2013-08-26 09:27:31
966,9780312306182,3,2014-09-22 00:52:46
191,9780385484367,3,2017-04-27 08:54:30
110,9781845760656,1,1999-12-15 14:39:43
239,9780743499262,5,1990-12-21 14:21:17
221,9780060572150,4,1984-12-15 09:09:50
